entrez_id	gene_name
29974	A1CF
339	APOBEC1
3837	KPNB1
988	CDC5L
9343	EFTUD2
3192	HNRNPU
9782	MATR3
4436	MSH2
6421	SFPQ
23020	SNRNP200
203068	TUBB
8359	H4C1
8366	H4C2
8364	H4C3
8360	H4C4
8367	H4C5
8361	H4C6
8365	H4C8
8294	H4C9
8363	H4C11
8362	H4C12
8368	H4C13
8370	H4C14
121504	H4C16
23345	SYNE1
10189	ALYREF
1153	CIRBP
11052	CPSF6
10521	DDX17
1654	DDX3X
1655	DDX5
1665	DHX15
1660	DHX9
10643	IGF2BP3
3550	IK
57819	LSM2
27258	LSM3
25804	LSM4
11157	LSM6
51690	LSM7
11051	NUDT21
27339	PRPF19
26121	PRPF31
22827	PUF60
9584	RBM39
9092	SART1
7536	SF1
10291	SF3A1
10946	SF3A3
23451	SF3B1
10992	SF3B2
23450	SF3B3
23517	MTREX
55234	SMU1
6627	SNRPA1
6629	SNRPB2
6632	SNRPD1
6633	SNRPD2
6634	SNRPD3
51593	SRRT
9295	SRSF11
6426	SRSF1
6427	SRSF2
6428	SRSF3
6429	SRSF4
6430	SRSF5
6431	SRSF6
6432	SRSF7
6434	TRA2B
7307	U2AF1
11338	U2AF2
10713	USP39
800	CALD1
9188	DDX21
2091	FBL
3178	HNRNPA1
4670	HNRNPM
10642	IGF2BP1
3608	ILF2
3609	ILF3
51631	LUC7L2
4691	NCL
9221	NOLC1
6139	RPL17
6146	RPL22
6147	RPL23A
9349	RPL23
6152	RPL24
6154	RPL26
6157	RPL27A
6160	RPL31
11224	RPL35
6173	RPL36A
6122	RPL3
6125	RPL5
6132	RPL8
6205	RPS11
6206	RPS12
6207	RPS13
6208	RPS14
6210	RPS15A
6218	RPS17
6222	RPS18
6228	RPS23
6229	RPS24
6235	RPS29
6187	RPS2
6189	RPS3A
6194	RPS6
6201	RPS7
6202	RPS8
6203	RPS9
26156	RSL1D1
6727	SRP14
4904	YBX1
8539	API5
708	C1QBP
2335	FN1
10146	G3BP1
3190	HNRNPK
3191	HNRNPL
3303	HSPA1A
3304	HSPA1B
3312	HSPA8
84316	NAA38
4841	NONO
142	PARP1
6599	SMARCC1
6741	SSB
10155	TRIM28
9406	ZRANB2
5347	PLK1
5499	PPP1CA
3069	HDLBP
5591	PRKDC
7520	XRCC5
2547	XRCC6
3020	H3-3A
3021	H3-3B
6927	HNF1A
3146	HMGB1
5434	POLR2E
5437	POLR2H
8087	FXR1
6232	RPS27
9255	AIMP1
7965	AIMP2
55157	DARS2
1615	DARS1
9521	EEF1E1
2058	EPRS1
3376	IARS1
3735	KARS1
51520	LARS1
4141	MARS1
5859	QARS1
5917	RARS1
1736	DKC1
55749	CCAR1
29894	CPSF1
53981	CPSF2
2521	FUS
10949	HNRNPA0
3181	HNRNPA2B1
220988	HNRNPA3
3184	HNRNPD
3185	HNRNPF
3187	HNRNPH1
10236	HNRNPR
10482	NXF1
8106	PABPN1
5093	PCBP1
5094	PCBP2
5411	PNN
5725	PTBP1
27316	RBMX
10492	SYNCRIP
1994	ELAVL1
2237	FEN1
5424	POLD1
25842	ASF1A
7706	TRIM25
2956	MSH6
5981	RFC1
5984	RFC4
3313	HSPA9
50485	SMARCAL1
118487	CHCHD1
51649	MRPS23
64965	MRPS9
1500	CTNND1
2130	EWSR1
2959	GTF2B
2961	GTF2E2
9533	POLR1C
10623	POLR3C
661	POLR3D
55718	POLR3E
8531	YBX3
4076	CAPRIN1
1981	EIF4G1
51121	RPL26L1
6169	RPL38
6204	RPS10
6230	RPS25
6231	RPS26
6234	RPS28
6188	RPS3
6191	RPS4X
5976	UPF1
440193	CCDC88C
9967	THRAP3
25920	NELFB
7936	NELFE
8731	RNMT
6829	SUPT5H
10614	HEXIM1
22803	XRN2
10128	LRPPRC
2011	MARK2
4172	MCM3
4174	MCM5
2969	GTF2I
8487	GEMIN2
9898	UBAP2L
7812	CSDE1
1431	CS
7874	USP7
1656	DDX6
22894	DIS3
54512	EXOSC4
56915	EXOSC5
118460	EXOSC6
23016	EXOSC7
5393	EXOSC9
8570	KHSRP
9987	HNRNPDL
8148	TAF15
23435	TARDBP
1653	DDX1
25929	GEMIN5
11171	STRAP
11325	DDX42
79039	DDX54
3005	H1-0
3008	H1-4
27044	SND1
2037	EPB41L2
1965	EIF2S1
8894	EIF2S2
1968	EIF2S3
8661	EIF3A
8663	EIF3C
3646	EIF3E
8665	EIF3F
1975	EIF4B
7458	EIF4H
4350	MPG
7035	TFPI
140032	RPS4Y2
6726	SRP9
3148	HMGB2
10923	SUB1
3172	HNF4A
10199	MPHOSPH10
10657	KHDRBS1
3939	LDHA
3980	LIG3
7515	XRCC1
27257	LSM1
54888	NSUN2
30000	TNPO2
84271	POLDIP3
5442	POLRMT
7019	TFAM
51367	POP5
10556	RPP30
5514	PPP1R10
47	ACLY
118	ADD1
120	ADD3
54890	ALKBH5
444	ASPH
549	AUH
9774	BCLAF1
705	BYSL
51637	RTRAF
28974	C19orf53
79074	C2orf49
10659	CELF2
1429	CRYZ
26528	DAZAP1
51163	DBR1
8886	DDX18
8653	DDX3Y
1666	DECR1
26063	DECR2
10202	DHRS2
57647	DHX37
4733	DRG1
1841	DTYMK
56931	DUS3L
1962	EHHADH
10436	EMG1
27436	EML4
2332	FMR1
8880	FUBP1
8939	FUBP3
9908	G3BP2
54433	GAR1
124790	HEXIM2
3149	HMGB3
3182	HNRNPAB
3189	HNRNPH3
92906	HNRNPLL
10644	IGF2BP2
3898	LAD1
389421	LIN28B
55379	LRRC59
4134	MAP4
4082	MARCKS
92667	MGME1
7841	MOGS
124540	MSI2
92140	MTDH
25902	MTHFD1L
4522	MTHFD1
4833	NME4
4836	NMT1
161424	NOP9
55666	NPLOC4
57326	PBXIP1
64146	PDF
55825	PECR
23089	PEG10
5178	PEG3
23481	PES1
55269	PSPC1
9991	PTBP3
9444	QKI
8241	RBM10
10137	RBM12
10432	RBM14
9904	RBM19
5935	RBM3
5965	RECQL
246243	RNASEH1
23223	RRP12
8634	RTCA
55153	SDAD1
26135	SERBP1
8879	SGPL1
6470	SHMT1
6472	SHMT2
81892	SLIRP
26010	SPATS2L
140890	SREK1
6742	SSBP1
26608	TBL2
7072	TIA1
7073	TIAL1
9878	TOX4
9100	USP10
114049	BUD23
55854	ZC3H15
56829	ZC3HAV1
126208	ZNF787
9530	BAG4
3838	KPNA2
51726	DNAJB11
10930	APOBEC2
2	A2M
309	ANXA6
3818	KLKB1
4035	LRP1
4319	MMP10
4320	MMP11
4321	MMP12
4322	MMP13
4327	MMP19
4312	MMP1
9313	MMP20
4313	MMP2
4314	MMP3
4316	MMP7
4317	MMP8
4318	MMP9
23225	NUP210
4803	NGF
335	APOA1
1915	EEF1A1
3309	HSPA5
60	ACTB
3688	ITGB1
998	CDC42
3014	H2AX
25777	SUN2
55660	PRPF40A
58517	RBM25
6626	SNRPA
3007	H1-3
10627	MYL12A
51602	NOP58
6136	RPL12
23521	RPL13A
6175	RPLP0
292	SLC25A5
10498	CARM1
10694	CCT8
11140	CDC37
1289	COL5A1
2885	GRB2
3326	HSP90AB1
3675	ITGA3
3678	ITGA5
3685	ITGAV
3911	LAMA5
3915	LAMC1
7415	VCP
55243	KIRREL1
10382	TUBB4A
1460	CSNK2B
1080	CFTR
351	APP
336	APOA2
337	APOA4
344	APOC2
345	APOC3
348	APOE
1062	CENPE
197	AHSG
4842	NOS1
4843	NOS2
4846	NOS3
64223	MLST8
1026	CDKN1A
3897	L1CAM
259	AMBP
7332	UBE2L3
10053	AP1M2
567	B2M
1777	DNASE2
2799	GNS
3482	IGF2R
4074	M6PR
7037	TFRC
2243	FGA
2244	FGB
2266	FGG
5908	RAP1B
325	APCS
10376	TUBA1B
84790	TUBA1C
6774	STAT3
682	BSG
23385	NCSTN
948	CD36
3250	HPR
3931	LCAT
949	SCARB1
3831	KLC1
51592	TRIM33
1457	CSNK2A1
1459	CSNK2A2
22976	PAXIP1
3053	SERPIND1
55729	ATF7IP
476	ATP1A1
483	ATP1B3
498	ATP5F1A
506	ATP5F1B
523	ATP6V1A
526	ATP6V1B2
1509	CTSD
4012	LNPEP
9632	SEC24C
2071	ERCC3
7045	TGFBI
5154	PDGFA
5155	PDGFB
3827	KNG1
6009	RHEB
2068	ERCC2
2965	GTF2H1
2966	GTF2H2
2967	GTF2H3
2968	GTF2H4
6520	SLC3A2
8764	TNFRSF14
5864	RAB3A
715	C1R
716	C1S
718	C3
720	C4A
722	C4BPA
725	C4BPB
629	CFB
3075	CFH
5627	PROS1
729	C6
735	C9
7448	VTN
7052	TGM2
3921	RPSA
26019	UPF2
7416	VDAC1
2990	GUSB
902	CCNH
1029	CDKN2A
1022	CDK7
2073	ERCC5
404672	GTF2H5
4331	MNAT1
6468	FBXW4
