uniprot_id	gene_name
P35218	CA5A
Q9Y2D0	CA5B
P07451	CA3
P00915	CA1
Q8N1Q1	CA13
P00918	CA2
P43166	CA7
Q16790	CA9
O43570	CA12
P22748	CA4
Q9ULX7	CA14
P23280	CA6
Q96G61	NUDT11
O95989	NUDT3
Q8NFP7	NUDT10
Q9NZJ9	NUDT4
Q92551	IP6K1
Q96PC2	IP6K3
Q13572	ITPK1
Q6PFW1	PPIP5K1
O43314	PPIP5K2
Q9H8X2	IPPK
Q9UNW1	MINPP1
Q9UGB7	MIOX
P32019	INPP5B
Q14642	INPP5A
O14732	IMPA2
P29218	IMPA1
Q96PE3	INPP4A
O15327	INPP4B
Q96QG7	MTMR9
Q9Y216	MTMR7
P49441	INPP1
Q9NPH2	ISYNA1
O43426	SYNJ1
Q15735	INPP5J
Q01968	OCRL
Q96BZ4	PLD4
Q9BRC7	PLCD4
Q15147	PLCB4
Q01970	PLCB3
Q00722	PLCB2
Q9NQ66	PLCB1
Q86YW0	PLCZ1
Q8N3E9	PLCD3
O75038	PLCH2
Q9P212	PLCE1
P16885	PLCG2
Q4KWH8	PLCH1
P19174	PLCG1
P51178	PLCD1
P60484	PTEN
P23677	ITPKA
P0DP23	CALM1
Q96DU7	ITPKC
P27987	ITPKB
Q92835	INPP5D
O15357	INPPL1
Q8NFU5	IPMK
Q9UHH9	IP6K2
P18825	ADRA2C
P08913	ADRA2A
Q9UK08	GNG8
O14610	GNGT2
P63211	GNGT1
O60262	GNG7
Q9P2W3	GNG13
P63215	GNG3
P50151	GNG10
P61952	GNG11
P50150	GNG4
P63218	GNG5
Q9UBI6	GNG12
P59768	GNG2
P62879	GNB2
Q9HAV0	GNB4
O14775	GNB5
P16520	GNB3
P62873	GNB1
P63096	GNAI1
P04899	GNAI2
O43306	ADCY6
O95622	ADCY5
Q9NY47	CACNA2D2
Q01668	CACNA1D
P54284	CACNB3
Q08289	CACNB2
Q13936	CACNA1C
P29992	GNA11
P30679	GNA15
P50148	GNAQ
O95837	GNA14
P17252	PRKCA
P20309	CHRM3
P29966	MARCKS
Q16623	STX1A
P63027	VAMP2
P60880	SNAP25
O00445	SYT5
P01308	INS
P61764	STXBP1
